Date,USGG3M Index
1970-01-27,7.86
1970-02-27,6.85
1970-03-31,6.38
1970-04-30,6.93
1970-05-29,6.93
1970-06-30,6.49
1970-07-31,6.38
1970-08-31,6.33
1970-09-30,5.84
1970-10-30,5.84
1970-11-30,5.04
1970-12-31,4.85
1971-01-29,4.15
1971-02-26,3.4
1971-03-31,3.64
1971-04-30,3.93
1971-05-31,4.34
1971-06-30,5.22
1971-07-30,5.31
1971-08-31,4.44
1971-09-30,4.6
1971-10-29,4.31
1971-11-30,4.34
1971-12-31,3.68
1972-01-31,3.35
1972-02-29,3.46
1972-03-31,3.83
1972-04-28,3.63
1972-05-31,3.81
1972-06-30,4.06
1972-07-31,3.8
1972-08-31,4.55
1972-09-29,4.55
1972-10-31,4.76
1972-11-30,4.88
1972-12-29,5.14
1973-01-31,5.68
1973-02-28,5.85
1973-03-30,6.4
1973-04-30,6.23
1973-05-31,6.92
1973-06-29,7.52
1973-07-31,8.32
1973-08-31,8.66
1973-09-28,6.98
1973-10-31,7.36
1973-11-30,7.3
1973-12-31,7.46
1974-01-31,7.48
1974-02-28,7.46
1974-03-29,8.28
1974-04-30,8.9
1974-05-31,8.08
1974-06-28,7.34
1974-07-31,7.67
1974-08-30,8.93
1974-09-30,6.12
1974-10-31,7.8
1974-11-29,7.47
1974-12-31,7.06
1975-01-31,5.68
1975-02-28,5.4
1975-03-31,5.53
1975-04-30,5.5
1975-05-30,5.2
1975-06-30,5.86
1975-07-31,6.25
1975-08-29,6.36
1975-09-30,6.58
1975-10-31,5.51
1975-11-28,5.54
1975-12-31,5.2
1976-01-30,4.73
1976-02-27,5
1976-03-31,4.97
1976-04-30,4.91
1976-05-31,5.49
1976-06-30,5.37
1976-07-30,5.17
1976-08-31,5.09
1976-09-30,5.06
1976-10-29,4.89
1976-11-30,4.42
1976-12-31,4.34
1977-01-31,4.72
1977-02-28,4.7
1977-03-31,4.54
1977-04-29,4.69
1977-05-31,5.03
1977-06-30,4.98
1977-07-29,5.4
1977-08-31,5.56
1977-09-30,5.89
1977-10-31,6.18
1977-11-30,6.04
1977-12-30,6.13
1978-01-31,6.42
1978-02-28,6.42
1978-03-31,6.47
1978-04-28,6.35
1978-05-31,6.65
1978-06-30,7.01
1978-07-31,6.76
1978-08-31,7.54
1978-09-29,7.98
1978-10-31,8.75
1978-11-30,9.01
1978-12-29,9.26
1979-01-31,9.29
1979-02-28,9.45
1979-03-30,9.44
1979-04-30,9.56
1979-05-31,9.57
1979-06-29,8.95
1979-07-31,9.18
1979-08-31,9.81
1979-09-28,10.12
1979-10-31,12.12
1979-11-30,11.49
1979-12-31,12.04
1980-01-31,12
1980-02-29,14.01
1980-03-31,14.24
1980-04-30,10.39
1980-05-30,7.75
1980-06-30,7.88
1980-07-31,8.62
1980-08-29,9.96
1980-09-30,11.44
1980-10-31,12.71
1980-11-28,14.48
